year,region,npg,birth_rate,death_rate,gdw,urbanization
1990,Republic of Adygea,1.9,14.2,12.3,84.66,52.42
1990,Altai Krai,1.8,12.9,11.1,80.24,58.07
1990,Amur Oblast,7.6,16.2,8.6,69.55,68.37
1990,Arkhangelsk Oblast,3.7,13.5,9.8,73.26,73.63
1990,Astrakhan Oblast,4.7,15.1,10.4,77.05,68.01
1990,Republic of Bashkortostan,6.5,16.2,9.7,80.53,64.22
1990,Belgorod Oblast,0.0,12.9,12.9,84.17,63.26
1990,Bryansk Oblast,0.1,13.0,12.9,86.48,67.49
1990,Republic of Buryatia,9.2,18.3,9.1,79.47,62.16
1990,Vladimir Oblast,-0.4,12.1,12.5,77.78,79.31
1990,Volgograd Oblast,1.3,13.0,11.7,77.3,75.76
1990,Vologda Oblast,1.4,13.4,12.0,82.16,65.48
1990,Voronezh Oblast,-2.4,11.5,13.9,83.78,60.94
1990,Republic of Dagestan,19.9,26.1,6.2,94.26,43.49
1990,Jewish Autonomous Oblast,8.2,17.8,9.6,76.11,65.01
1990,Zabaykalsky Krai,8.4,17.6,9.2,77.95,63.86
1990,Ivanovo Oblast,-2.4,11.6,14.0,81.82,82.3
1990,Republic of Ingushetia,,,,94.31,24.84
1990,Irkutsk Oblast,6.2,16.2,10.0,72.48,80.36
1990,Kabardino-Balkar Republic,11.5,20.0,8.5,80.03,60.86
1990,Kaliningrad Oblast,2.8,12.6,9.8,67.8,78.97
1990,Republic of Kalmykia,12.7,20.9,8.2,77.44,45.81
1990,Kaluga Oblast,-0.5,12.0,12.5,77.4,69.77
1990,Kamchatka Krai,6.2,12.4,6.2,49.96,81.5
1990,Karachay-Cherkess Republic,8.8,17.1,8.3,82.62,48.99
1990,Republic of Karelia,3.1,13.3,10.2,72.44,81.55
1990,Kemerovo Oblast,1.6,12.9,11.3,76.39,87.12
1990,Kirov Oblast,0.9,13.0,12.1,82.66,69.35
1990,Kostroma Oblast,-0.8,12.7,13.5,84.21,68.85
1990,Krasnodar Krai,-0.1,13.2,13.3,82.86,54.25
1990,Krasnoyarsk Krai,4.5,13.8,9.3,69.33,73.94
1990,Republic of Crimea,,,,,
1990,Kurgan Oblast,3.1,14.5,11.4,81.6,54.77
1990,Kursk Oblast,-2.0,11.9,13.9,85.04,58.4
1990,Leningrad Oblast,-1.5,11.0,12.5,82.65,66.05
1990,Lipetsk Oblast,-0.7,12.1,12.8,78.8,62.64
1990,Magadan Oblast,8.0,13.6,5.6,49.73,84.29
1990,Mari El Republic,5.5,15.8,10.3,80.73,61.57
1990,Republic of Mordovia,2.0,13.4,11.4,80.54,56.78
1990,Moscow,-2.2,10.6,12.8,71.52,100.0
1990,Moscow Oblast,-2.0,10.2,12.2,71.46,79.67
1990,Murmansk Oblast,5.4,11.2,5.8,54.9,91.42
1990,Nenets Autonomous Okrug,10.3,17.7,7.4,62.46,63.78
1990,Nizhny Novgorod Oblast,-1.6,11.3,12.9,79.62,77.19
1990,Novgorod Oblast,-1.8,12.3,14.1,83.06,69.68
1990,Novosibirsk Oblast,2.4,13.2,10.8,75.45,74.39
1990,Omsk Oblast,5.6,14.9,9.3,77.93,67.9
1990,Orenburg Oblast,5.8,15.5,9.7,79.17,64.54
1990,Oryol Oblast,-0.7,12.3,13.0,79.55,62.12
1990,Penza Oblast,0.1,12.0,11.9,79.16,63.02
1990,Perm Krai,2.8,13.9,11.1,76.95,76.98
1990,Primorsky Krai,5.5,14.6,9.1,63.31,77.23
1990,Pskov Oblast,-3.2,11.9,15.1,84.99,63.14
1990,Altai Republic,8.4,19.3,10.9,90.07,27.17
1990,Komi Republic,6.1,13.6,7.5,61.94,75.7
1990,Tuva Republic,17.7,26.3,8.6,82.84,46.97
1990,Rostov Oblast,0.0,12.5,12.5,76.34,71.24
1990,Ryazan Oblast,-2.4,11.6,14.0,80.7,65.5
1990,Samara Oblast,1.2,12.3,11.1,72.58,80.75
1990,Saint Petersburg,-1.4,10.9,12.3,68.2,100.0
1990,Saratov Oblast,1.6,13.4,11.8,74.58,74.1
1990,Sakhalin Oblast,6.1,14.2,8.1,59.44,84.75
1990,Sverdlovsk Oblast,1.0,12.1,11.1,75.83,87.58
1990,Sevastopol,,,,,
1990,Republic of North Ossetia-Alania,7.4,16.9,9.5,78.98,69.2
1990,Smolensk Oblast,-1.4,11.9,13.3,82.65,68.11
1990,Stavropol Krai,3.2,14.8,11.6,80.55,54.04
1990,Tambov Oblast,-3.2,11.7,14.9,85.32,56.28
1990,Republic of Tatarstan,5.5,15.4,9.9,77.53,73.37
1990,Tver Oblast,-3.4,11.5,14.9,85.76,71.29
1990,Tomsk Oblast,3.9,12.6,8.7,70.98,70.83
1990,Tula Oblast,-4.3,10.2,14.5,81.7,81.29
1990,Tyumen Oblast,9.6,15.9,6.3,73.61,76.51
1990,Udmurt Republic,5.3,15.1,9.8,77.72,70.14
1990,Ulyanovsk Oblast,2.8,14.1,11.3,76.34,71.78
1990,Khabarovsk Krai,5.9,15.1,9.2,63.58,80.22
1990,Republic of Khakassia,4.7,15.3,10.6,77.75,72.67
1990,Khanty–Mansi Autonomous Okrug – Yugra,12.9,17.1,4.2,58.98,91.66
1990,Chelyabinsk Oblast,2.7,13.1,10.4,76.27,82.82
1990,Chechen Republic,15.8,24.1,8.3,89.49,43.86
1990,Chuvash Republic,5.7,15.8,10.1,81.68,58.32
1990,Chukotka Autonomous Okrug,10.1,13.8,3.7,48.12,72.74
1990,Sakha (Yakutia) Republic,12.7,19.4,6.7,64.27,66.88
1990,Yamalo-Nenets Autonomous Okrug,13.1,16.4,3.3,53.35,78.97
1990,Yaroslavl Oblast,-1.9,11.3,13.2,78.51,81.6
1991,Republic of Adygea,0.0,13.5,13.5,85.42,52.51
1991,Altai Krai,0.4,11.7,11.3,79.95,58.08
1991,Amur Oblast,5.3,14.3,9.0,70.26,68.53
1991,Arkhangelsk Oblast,2.0,11.9,9.9,73.65,73.81
1991,Astrakhan Oblast,2.8,13.9,11.1,77.99,68.2
1991,Republic of Bashkortostan,4.7,14.7,10.0,81.85,64.41
1991,Belgorod Oblast,-1.8,11.5,13.3,84.43,63.7
1991,Bryansk Oblast,-1.1,12.0,13.1,87.96,68.01
1991,Republic of Buryatia,6.7,16.0,9.3,79.65,60.44
1991,Vladimir Oblast,-2.2,10.3,12.5,78.86,79.47
1991,Volgograd Oblast,0.3,11.9,11.6,78.18,75.8
1991,Vologda Oblast,-0.1,11.9,12.0,82.95,65.9
1991,Voronezh Oblast,-3.7,10.5,14.2,84.82,61.22
1991,Republic of Dagestan,18.6,24.9,6.3,95.05,43.97
1991,Jewish Autonomous Oblast,6.2,16.0,9.8,75.27,64.95
1991,Zabaykalsky Krai,6.7,16.0,9.3,78.21,64.19
1991,Ivanovo Oblast,-4.2,10.2,14.4,82.63,82.22
1991,Republic of Ingushetia,,,,96.32,27.8
1991,Irkutsk Oblast,4.4,14.7,10.3,73.02,80.44
1991,Kabardino-Balkar Republic,10.1,19.0,8.9,80.59,60.97
1991,Kaliningrad Oblast,1.8,11.7,9.9,68.7,78.94
1991,Republic of Kalmykia,11.1,19.5,8.4,78.73,45.98
